urdu,transliteration,count
ہونا,honaa,1723
کا,kaa,560
سے,se,511
میں,me;n,491
نہ,nah,416
کہ,kih,388
کو,ko,371
کی,kii,296
کرنا,karnaa,296
ہو,ho,290
نہیں,nahii;n,288
میں,mai;n,285
جانا,jaanaa,272
کیا,kyaa,240
میرا,meraa,240
دل,dil,223
ہم,ham,200
بھی,bhii,186
وہ,vuh,186
تو,to,174
یہ,yih,165
آنا,aanaa,157
اس,us,148
کہنا,kahnaa,145
نے,ne,140
ہونا,honaaa,137
جو,jo,135
تیرا,teraa,133
اور,aur,125
دیکھنا,dekhnaa,122
پر,par,121
غالب,;gaalib,112
کوئی,ko))ii,109
دینا,denaa,102
کیوں,kyuu;n,100
ہی,hii,97
پہ,pah,94
بہ,bah,90
گر,gar,87
پھر,phir,75
اپنا,apnaa,75
ہر,har,73
رہنا,rahnaa,72
گل,gul,70
ای,ay,70
اک,ik,68
کس,kis,68
کچھ,kuchh,66
تم,tum,61
غم,;gam,58
ہوتا,hotaa,58
جس,jis,56
اگر,agar,55
سر,sar,51
ایک,ek,50
عشق,((ishq,49
مرنا,marnaa,46
ناز,naaz,45
نالہ,naalah,45
دن,din,42
بننا,ban'naa,41
جب,jab,41
کہاں,kahaa;n,40
تو,tuu,39
اب,ab,39
رکھنا,rakhnaa,39
چاہیے,chaahiye,38
یار,yaar,38
اسد,asad,38
سہی,sahii,38
خیال,;xayaal,37
یوں,yuu;n,37
مے,mai,37
جگر,jigar,37
لینا,lenaa,37
غیر,;gair,36
رنگ,rang,36
ہمارا,hamaaraa,36
جلوہ,jalvah,35
یاں,yaa;n,35
خاک,;xaak,35
وفا,vafaa,35
جان,jaan,35
موج,mauj,35
نکلنا,nikalnaa,34
یا,yaa,34
پوچھنا,puuchhnaa,33
ملنا,milnaa,33
شوق,shauq,33
یاد,yaad,32
خدا,;xudaa,32
نگاہ,nigaah,32
بات,baat,32
لیے,liye,31
یک,yak,31
زخم,za;xm,31
بزم,bazm,30
ان,un,30
جاننا,jaan'naa,30
گھر,ghar,29
سمجھنا,samjhnaa,29
کھلنا,khulnaa,29
دم,dam,29
واں,vaa;n,29
اچّھا,achchhaa,28
داغ,daa;g,28
ہائے,haa))e,28
حسرت,;hasrat,28
تک,tak,28
پانا,paanaa,27
نظر,na:zar,27
آگے,aage,27
چشم,chashm,27
قدر,qadar,26
شراب,sharaab,26
اہل,ahl,26
تجھ,tujh,26
آج,aaj,26
جہان,jahaan,26
دوست,dost,26
خوں,;xuu;n,25
شب,shab,25
در,dar,25
بہار,bahaar,24
مگر,magar,24
تماشا,tamaashaa,24
ذوق,;zauq,24
بار,baar,24
تا,taa,24
بت,but,24
ہوا,havaa,23
پڑنا,pa;rnaa,23
جا,jaa,23
آئینہ,aa))iinah,22
کبھی,kabhii,22
ہاتھ,haath,22
جنون,junuun,22
حسن,;husn,22
لیکن,lekin,22
اٹھنا,u;thnaa,22
ورنہ,varnah,22
ہستی,hastii,22
عمر,((umr,21
رب,rab,21
جلنا,jalnaa,21
چلنا,chalnaa,21
کام,kaam,21
قطرہ,qa:trah,21
تمنّا,tamannaa,21
ایسا,aisaa,21
آپ,aap,20
منہ,mu;nh,20
دریا,daryaa,20
درد,dard,20
پانو,paa;nv,20
کھینچنا,khe;nchnaa,20
لب,lab,19
کسی,kisii,19
آخر,aa;xir,19
قیامت,qiyaamat,19
شمع,sham((a,19
پا,paa,19
کم,kam,19
آونا,aavnaa,19
دیدہ,diidah,19
رہ,rah,18
برا,buraa,18
باندھنا,baa;ndhnaa,18
بہت,bahut,18
سننا,sun'naa,18
بیٹھنا,bai;thnaa,18
سکنا,saknaa,18
دشمن,dushman,18
نگہ,nigah,18
ساقی,saaqii,18
وقت,vaqt,18
اٹھانا,u;thaanaa,18
لکھنا,likhnaa,18
دو,do,17
مت,mat,17
کیونکر,kyuu;nkar,17
رشک,rashk,17
پردہ,pardah,17
عالم,((aalam,17
نقش,naqsh,17
عاشق,((aashiq,17
رقیب,raqiib,17
انداز,andaaz,17
نفس,nafas,17
مژگان,mizhgaan,17
لخّت,la;z;zat,16
زبان,zabaan,16
حال,;haal,16
ہنوز,hanuuz,16
ہاں,haa;n,16
زلف,zulf,16
ادا,adaa,16
ابھی,abhii,16
قسمت,qismat,16
پاس,paas,16
طاقت,:taaqat,16
ہوتے,hote,16
بلا,balaa,16
ہوس,havas,15
خندہ,;xandah,15
وحشت,va;hshat,15
کافر,kaafir,15
کب,kab,15
راہ,raah,15
لگانا,lagaanaa,15
سینہ,siinah,15
سمجھنا,samajhnaa,15
اسے,use,15
کہیں,kahii;n,15
تن,tan,15
شعلہ,shu((lah,15
در و دیوار,dar-o-diivaar,15
سایہ,saayah,15
سخن,su;xan,14
قدم,qadam,14
خط,;xa:t,14
آرزو,aarzuu,14
بغیر,ba;gair,14
گریہ,giryah,14
سو,so,14
جی,jii,14
مٹنا,mi;tnaa,14
گرم,garm,14
معلوم,ma((luum,14
آب,aab,14
بسکہ,baskih,14
برق,barq,14
کھانا,khaanaa,14
بعد,ba((d,14
آئنہ,aa))inah,14
ذرّہ,;zarrah,13
ہر چند,har-chand,13
صورت,.suurat,13
سب,sab,13
اڑنا,u;rnaa,13
قاتل,qaatil,13
خواب,;xvaab,13
گردن,gardan,13
خوب,;xuub,13
گویا,goyaa,13
ستم,sitam,13
یہی,yihii,13
چاہنا,chaahnaa,13
آتش,aatish,13
یعنی,ya((nii,13
فرصت,fur.sat,13
چھوڑنا,chho;rnaa,13
لوگ,log,13
خوش,;xvush,13
زمانہ,zamaanah,13
گزرنا,guzarnaa,13
تار,taar,13
الفت,ulfat,13
تجھے,tujhe,12
دماغ,dimaa;g,12
محو,ma;hv,12
لگنا,lagnaa,12
طرح,:tara;h,12
شکوہ,shikvah,12
تیغ,te;g,12
جوش,josh,12
آزمائش,aazmaa))ish,12
وعدہ,va((dah,12
عرض,((ar.z,12
بیان,bayaan,12
نام,naam,12
بادہ,baadah,12
خون,;xuun,12
آہ,aah,12
بستر,bistar,12
تغافل,ta;gaaful,12
چاک,chaak,12
گو,go,12
آنکھ,aa;nkh,12
صدا,.sadaa,12
خبر,;xabar,12
کون,kaun,12
کہو,kaho,12
چمن,chaman,12
جوہر,jauhar,11
خس,;xas,11
انتظار,inti:zaar,11
گریبان,garebaan,11
زندگی,zindagii,11
پینا,piinaa,11
لانا,laanaa,11
حلقہ,;halqah,11
دام,daam,11
جسے,jise,11
ضعف,.zu((f,11
جفا,jafaa,11
جز,juz,11
صحرا,.sa;hraa,11
از,az,11
سنگ,sang,11
ولے,vale,11
پنہان,pinhaan,11
مجنون,majnuun,11
رات,raat,11
شکایت,shikaayat,11
محبّت,mu;habbat,11
حق,;haq,11
دیدار,diidaar,11
آسان,aasaan,10
صبح,.sub;h,10
نمک,namak,10
جادہ,jaadah,10
دیوار,diivaar,10
رگ,rag,10
سیر,sair,10
خو,;xuu,10
حاصل,;haa.sil,10
نقاب,naqaab,10
دور,duur,10
داد,daad,10
دنیا,dunyaa,10
ساتھ,saath,10
فنا,fanaa,10
عزیز,((aziiz,10
سوا,sivaa,10
تیر,tiir,10
رنج,ranj,10
جینا,jiinaa,10
آسمان,aasmaan,10
کہہ,kah,10
خار,;xaar,10
بے خودی,be-;xvudii,10
غافل,;gaafil,10
نہان,nihaan,10
تلک,talak,10
جام,jaam,10
ہوتی,hotii,10
باغ,baa;g,10
وا,vaa,10
وگرنہ,vagarnah,10
ماننا,maan'naa,9
کاش,kaash,9
عیش,((aish,9
کوچہ,kuuchah,9
ساغر,saa;gar,9
پیدا,paidaa,9
آشنا,aashnaa,9
صد,.sad,9
وہی,vuhii,9
مرگ,marg,9
وائے,vaa))e,9
شرم,sharm,9
گمان,gumaan,9
متاع,mataa((,9
کل,kal,9
بیداد,bedaad,9
کف,kaf,9
بن,bin,9
اثر,a;sar,9
گرچہ,garchih,9
پھرنا,phirnaa,9
باقی,baaqii,9
رشتہ,rishtah,9
گرمی,garmii,9
بارے,baare,9
دامن,daaman,9
مدّعا,mudda((aa,9
مشکل,mushkil,9
مانگنا,maa;ngnaa,9
چراغ,chiraa;g,9
تمام,tamaam,8
سیلاب,sailaab,8
کعبہ,ka((bah,8
ہوگا,hogaa,8
قسم,qasam,8
بس,bas,8
چراغ,chiraa;ga,8
حریف,;hariif,8
