urdu,transliteration,count
ہے,hai,1101
سے,se,511
میں,me;n,491
نہ,nah,416
کہ,kih,388
کو,ko,371
کی,kii,295
کا,kaa,291
ہو,ho,290
نہیں,nahii;n,288
کے,ke,269
کیا,kyaa,240
ہیں,hai;n,205
بھی,bhii,186
وہ,vuh,186
ہم,ham,182
تو,to,174
اس,us,148
تھا,thaa,146
دل,dil,144
نے,ne,140
ہوں,huu;n,137
جو,jo,135
یہ,yih,127
اور,aur,125
پر,par,120
کوئی,ko))ii,109
میں,mai;n,108
غالب,;gaalib,104
کیوں,kyuu;n,100
مجھے,mujhe,100
ہوا,hu))aa,98
ہی,hii,97
پہ,pah,94
کر,kar,92
بہ,bah,88
گر,gar,87
پھر,phir,75
مجھ,mujh,75
مرے,mire,73
ای,ay,70
اک,ik,68
کس,kis,68
کچھ,kuchh,66
ہر,har,64
ہوے,hu))e,61
ہوتا,hotaa,58
جس,jis,56
کرے,kare,56
اگر,agar,55
گیا,gayaa,52
ایک,ek,50
تم,tum,49
میرے,mere,48
جائے,jaa))e,44
کہتے,kahte,44
دیکھ,dekh,43
جب,jab,41
دے,de,40
دن,din,40
کہاں,kahaa;n,40
تو,tuu,39
اب,ab,39
چاہیے,chaahiye,38
میری,merii,38
سہی,sahii,38
ترے,tire,38
اس,is,37
یوں,yuu;n,37
رہا,rahaa,36
اسد,asad,36
سر,sar,35
یاں,yaa;n,35
ہوئی,hu))ii,33
مری,mirii,33
آئے,aa))e,33
یا,yaa,33
یاد,yaad,32
کیے,kiye,31
لیے,liye,31
بات,baat,30
ان,un,30
میرا,meraa,30
خدا,;xudaa,29
تھے,the,29
گھر,ghar,29
اپنی,apnii,29
گئی,ga))ii,29
واں,vaa;n,29
ہائے,haa))e,28
آیا,aayaa,28
تک,tak,28
آگے,aage,27
اپنے,apne,27
قدر,qadar,26
غیر,;gair,26
آج,aaj,26
خاک,;xaak,26
تھی,thii,26
اچّھا,achchhaa,26
کیا,kiyaa,25
آ,aa,25
مگر,magar,24
تا,taa,24
تری,tirii,24
تجھ,tujh,24
گئے,ga))e,23
یک,yak,23
کہے,kahe,23
کبھی,kabhii,22
تیرے,tere,22
دیکھا,dekhaa,22
لیکن,lekin,22
کہیے,kahiye,22
ورنہ,varnah,22
کرتا,kartaa,22
رب,rab,21
غم,;gam,21
رنگ,rang,20
گئیں,ga))ii;n,20
ہاتھ,haath,20
آتا,aataa,20
کام,kaam,20
پانو,paa;nv,20
آپ,aap,20
جانا,jaanaa,20
منہ,mu;nh,20
آخر,aa;xir,19
مر,mar,19
کسی,kisii,19
آتی,aatii,19
